,facilityId,facilityName,stateCode,so2Mass,so2Rate
1443,3,Barry,AL,1.017,0.001
1444,3,Barry,AL,1.052,0.001
1445,3,Barry,AL,1.057,0.001
1446,3,Barry,AL,1.088,0.001
1447,3,Barry,AL,1.121,0.001
1448,3,Barry,AL,1.13,0.001
1449,3,Barry,AL,1.155,0.001
1450,3,Barry,AL,1.192,0.001
1451,3,Barry,AL,1.14,0.001
1452,3,Barry,AL,1.075,0.001
1453,3,Barry,AL,1.074,0.001
1454,3,Barry,AL,1.075,0.001
1455,3,Barry,AL,1.083,0.001
1456,3,Barry,AL,1.085,0.001
1457,3,Barry,AL,1.086,0.001
1458,3,Barry,AL,1.087,0.001
1459,3,Barry,AL,1.087,0.001
1460,3,Barry,AL,1.088,0.001
1461,3,Barry,AL,1.089,0.001
1462,3,Barry,AL,1.085,0.001
1463,3,Barry,AL,1.043,0.001
1464,3,Barry,AL,0.953,0.001
1465,3,Barry,AL,0.881,0.001
1466,3,Barry,AL,0.85,0.001
1467,3,Barry,AL,0.802,0.001
1468,3,Barry,AL,0.746,0.001
1469,3,Barry,AL,0.773,0.001
1470,3,Barry,AL,0.843,0.001
1471,3,Barry,AL,1.005,0.001
1472,3,Barry,AL,1.1,0.001
1473,3,Barry,AL,1.128,0.001
1474,3,Barry,AL,1.131,0.001
1475,3,Barry,AL,1.164,0.001
1476,3,Barry,AL,1.193,0.001
1477,3,Barry,AL,1.184,0.001
1478,3,Barry,AL,1.126,0.001
1479,3,Barry,AL,1.13,0.001
1480,3,Barry,AL,1.13,0.001
1481,3,Barry,AL,1.131,0.001
1482,3,Barry,AL,1.132,0.001
1483,3,Barry,AL,1.131,0.001
1484,3,Barry,AL,1.134,0.001
1485,3,Barry,AL,1.136,0.001
1486,3,Barry,AL,1.084,0.001
1487,3,Barry,AL,1.077,0.001
1488,3,Barry,AL,0.977,0.001
1489,3,Barry,AL,0.919,0.001
1490,3,Barry,AL,0.829,0.001
1491,3,Barry,AL,0.845,0.001
1492,3,Barry,AL,0.808,0.001
1493,3,Barry,AL,0.745,0.001
1494,3,Barry,AL,0.804,0.001
1495,3,Barry,AL,0.982,0.001
1496,3,Barry,AL,1.113,0.001
1497,3,Barry,AL,1.128,0.001
1498,3,Barry,AL,1.128,0.001
1499,3,Barry,AL,1.147,0.001
1500,3,Barry,AL,1.19,0.001
1501,3,Barry,AL,1.19,0.001
1502,3,Barry,AL,1.188,0.001
1503,3,Barry,AL,1.188,0.001
1504,3,Barry,AL,1.189,0.001
1505,3,Barry,AL,1.191,0.001
1506,3,Barry,AL,1.195,0.001
1507,3,Barry,AL,1.197,0.001
1508,3,Barry,AL,1.165,0.001
1509,3,Barry,AL,1.135,0.001
1510,3,Barry,AL,1.134,0.001
1511,3,Barry,AL,1.084,0.001
1512,3,Barry,AL,1.027,0.001
1513,3,Barry,AL,0.961,0.001
1514,3,Barry,AL,0.947,0.001
1515,3,Barry,AL,0.971,0.001
1516,3,Barry,AL,1.036,0.001
1517,3,Barry,AL,1.082,0.001
1518,3,Barry,AL,1.073,0.001
1519,3,Barry,AL,1.12,0.001
1520,3,Barry,AL,1.127,0.001
1521,3,Barry,AL,1.13,0.001
1522,3,Barry,AL,1.139,0.001
1523,3,Barry,AL,1.189,0.001
1524,3,Barry,AL,1.188,0.001
1525,3,Barry,AL,1.188,0.001
1526,3,Barry,AL,1.187,0.001
1527,3,Barry,AL,1.189,0.001
1528,3,Barry,AL,1.194,0.001
1529,3,Barry,AL,1.194,0.001
1530,3,Barry,AL,1.193,0.001
1531,3,Barry,AL,1.195,0.001
1532,3,Barry,AL,1.184,0.001
1533,3,Barry,AL,1.128,0.001
1534,3,Barry,AL,1.133,0.001
1535,3,Barry,AL,1.134,0.001
1536,3,Barry,AL,1.084,0.001
1537,3,Barry,AL,1.083,0.001
1538,3,Barry,AL,1.083,0.001
1539,3,Barry,AL,1.084,0.001
1540,3,Barry,AL,1.085,0.001
1541,3,Barry,AL,1.085,0.001
1542,3,Barry,AL,1.111,0.001
1543,3,Barry,AL,1.131,0.001
1544,3,Barry,AL,1.129,0.001
1545,3,Barry,AL,1.08,0.001
1546,3,Barry,AL,1.082,0.001
1547,3,Barry,AL,1.079,0.001
1548,3,Barry,AL,1.116,0.001
1549,3,Barry,AL,1.129,0.001
1550,3,Barry,AL,1.131,0.001
1551,3,Barry,AL,1.132,0.001
1552,3,Barry,AL,1.132,0.001
1553,3,Barry,AL,1.131,0.001
1554,3,Barry,AL,1.13,0.001
1555,3,Barry,AL,1.132,0.001
1556,3,Barry,AL,1.134,0.001
1557,3,Barry,AL,1.134,0.001
1558,3,Barry,AL,1.135,0.001
1559,3,Barry,AL,1.084,0.001
1560,3,Barry,AL,1.085,0.001
1561,3,Barry,AL,1.084,0.001
1562,3,Barry,AL,1.08,0.001
1563,3,Barry,AL,1.083,0.001
1564,3,Barry,AL,1.085,0.001
1565,3,Barry,AL,1.085,0.001
1566,3,Barry,AL,1.087,0.001
1567,3,Barry,AL,1.085,0.001
1568,3,Barry,AL,1.127,0.001
1569,3,Barry,AL,1.137,0.001
1570,3,Barry,AL,1.15,0.001
1571,3,Barry,AL,1.2,0.001
1572,3,Barry,AL,1.174,0.001
1573,3,Barry,AL,1.13,0.001
1574,3,Barry,AL,1.136,0.001
1575,3,Barry,AL,1.135,0.001
1576,3,Barry,AL,1.135,0.001
1577,3,Barry,AL,1.135,0.001
1578,3,Barry,AL,1.135,0.001
1579,3,Barry,AL,1.135,0.001
1580,3,Barry,AL,1.137,0.001
1581,3,Barry,AL,1.137,0.001
1582,3,Barry,AL,1.085,0.001
1583,3,Barry,AL,1.031,0.001
1584,3,Barry,AL,0.891,0.001
1585,3,Barry,AL,0.907,0.001
1586,3,Barry,AL,0.853,0.001
1587,3,Barry,AL,0.897,0.001
1588,3,Barry,AL,0.926,0.001
1589,3,Barry,AL,0.92,0.001
1590,3,Barry,AL,0.94,0.001
1591,3,Barry,AL,1.07,0.001
1592,3,Barry,AL,1.082,0.001
1593,3,Barry,AL,1.121,0.001
1594,3,Barry,AL,1.142,0.001
1595,3,Barry,AL,1.197,0.001
1596,3,Barry,AL,1.198,0.001
1597,3,Barry,AL,1.195,0.001
1598,3,Barry,AL,1.197,0.001
1599,3,Barry,AL,1.197,0.001
1600,3,Barry,AL,1.196,0.001
1601,3,Barry,AL,1.195,0.001
1602,3,Barry,AL,1.196,0.001
1603,3,Barry,AL,1.153,0.001
1604,3,Barry,AL,1.135,0.001
1605,3,Barry,AL,1.135,0.001
1606,3,Barry,AL,1.08,0.001
1607,3,Barry,AL,1.075,0.001
1608,3,Barry,AL,0.984,0.001
1609,3,Barry,AL,0.918,0.001
1610,3,Barry,AL,0.941,0.001
1611,3,Barry,AL,0.981,0.001
1612,3,Barry,AL,1.023,0.001
1613,3,Barry,AL,0.974,0.001
1614,3,Barry,AL,1.005,0.001
1615,3,Barry,AL,1.083,0.001
1616,3,Barry,AL,0.918,0.001
1617,3,Barry,AL,0.968,0.001
1618,3,Barry,AL,1.171,0.001
1619,3,Barry,AL,1.195,0.001
1620,3,Barry,AL,1.196,0.001
1621,3,Barry,AL,1.196,0.001
1622,3,Barry,AL,1.195,0.001
1623,3,Barry,AL,1.196,0.001
1624,3,Barry,AL,1.199,0.001
1625,3,Barry,AL,1.202,0.001
1626,3,Barry,AL,1.202,0.001
1627,3,Barry,AL,1.202,0.001
1628,3,Barry,AL,1.16,0.001
1629,3,Barry,AL,1.134,0.001
1630,3,Barry,AL,1.134,0.001
